Time	Node	PitItems
263	1	Rtr2	11
264	1	Rtr2	12
265	1	Rtr2	9
266	1	Rtr2	167
267	1	Rtr2	128
268	1	Rtr2	124
269	1	Rtr2	125
270	1	Rtr2	14
271	1	Rtr2	16
272	1	Rtr2	16
273	1	Rtr2	15
274	1	Rtr2	11
275	1	Rtr2	6
276	1	Rtr2	751
277	1	Rtr2	1499
278	1	Rtr2	1516
279	1	Rtr2	1507
280	1	Rtr2	770
281	1	Rtr2	21
282	1	Rtr2	13
283	1	Rtr2	14
284	1	Rtr2	14
285	1	Rtr2	14
286	1	Rtr2	12
287	1	Rtr2	15
288	1	Rtr2	13
289	1	Rtr2	11
290	1	Rtr2	12
291	1	Rtr2	13
292	1	Rtr2	12
293	1	Rtr2	14
294	1	Rtr2	12
295	1	Rtr2	12
296	1	Rtr2	9
297	1	Rtr2	752
298	1	Rtr2	1494
299	1	Rtr2	1503
300	1	Rtr2	1507
301	1	Rtr2	772
302	1	Rtr2	24
303	1	Rtr2	747
304	1	Rtr2	1487
305	1	Rtr2	1501
306	1	Rtr2	1495
307	1	Rtr2	766
308	1	Rtr2	23
309	1	Rtr2	13
310	1	Rtr2	11
311	1	Rtr2	8
312	1	Rtr2	12
313	1	Rtr2	14
314	1	Rtr2	11
315	1	Rtr2	14
316	1	Rtr2	16
317	1	Rtr2	12
318	1	Rtr2	16
319	1	Rtr2	13
320	1	Rtr2	17
321	1	Rtr2	171
322	1	Rtr2	125
323	1	Rtr2	117
324	1	Rtr2	850
325	1	Rtr2	1486
326	1	Rtr2	1490
327	1	Rtr2	1489
328	1	Rtr2	756
329	1	Rtr2	20
330	1	Rtr2	15
331	1	Rtr2	14
332	1	Rtr2	9
333	1	Rtr2	15
334	1	Rtr2	9
335	1	Rtr2	10
336	1	Rtr2	11
337	1	Rtr2	14
338	1	Rtr2	15
339	1	Rtr2	16
340	1	Rtr2	16
341	1	Rtr2	12
342	1	Rtr2	14
343	1	Rtr2	13
344	1	Rtr2	12
345	1	Rtr2	741
346	1	Rtr2	1474
347	1	Rtr2	1482
348	1	Rtr2	1479
349	1	Rtr2	758
350	1	Rtr2	22
351	1	Rtr2	12
352	1	Rtr2	11
353	1	Rtr2	9
354	1	Rtr2	15
355	1	Rtr2	12
356	1	Rtr2	15
357	1	Rtr2	12
358	1	Rtr2	13
359	1	Rtr2	11
360	1	Rtr2	12
361	1	Rtr2	14
362	1	Rtr2	14
363	1	Rtr2	14
364	1	Rtr2	19
365	1	Rtr2	13
366	1	Rtr2	741
367	1	Rtr2	1469
368	1	Rtr2	1473
369	1	Rtr2	1473
370	1	Rtr2	749
371	1	Rtr2	25
372	1	Rtr2	20
373	1	Rtr2	14
374	1	Rtr2	9
375	1	Rtr2	12
376	1	Rtr2	191
377	1	Rtr2	144
378	1	Rtr2	138
379	1	Rtr2	132
380	1	Rtr2	13
381	1	Rtr2	15
382	1	Rtr2	13
383	1	Rtr2	16
384	1	Rtr2	10
385	1	Rtr2	9
386	1	Rtr2	13
387	1	Rtr2	736
388	1	Rtr2	1461
389	1	Rtr2	1465
390	1	Rtr2	1479
391	1	Rtr2	757
392	1	Rtr2	23
393	1	Rtr2	14
394	1	Rtr2	15
395	1	Rtr2	14
396	1	Rtr2	18
397	1	Rtr2	14
398	1	Rtr2	15
399	1	Rtr2	14
400	1	Rtr2	16
401	1	Rtr2	9
402	1	Rtr2	9
403	1	Rtr2	18
404	1	Rtr2	18
405	1	Rtr2	19
406	1	Rtr2	11
407	1	Rtr2	18
408	1	Rtr2	735
409	1	Rtr2	1448
410	1	Rtr2	1460
411	1	Rtr2	1462
412	1	Rtr2	747
413	1	Rtr2	22
414	1	Rtr2	14
415	1	Rtr2	11
416	1	Rtr2	17
417	1	Rtr2	16
418	1	Rtr2	19
419	1	Rtr2	12
420	1	Rtr2	13
421	1	Rtr2	16
422	1	Rtr2	19
423	1	Rtr2	13
424	1	Rtr2	17
425	1	Rtr2	15
426	1	Rtr2	16
427	1	Rtr2	10
428	1	Rtr2	15
429	1	Rtr2	731
430	1	Rtr2	1453
431	1	Rtr2	1458
432	1	Rtr2	1464
433	1	Rtr2	896
434	1	Rtr2	137
435	1	Rtr2	121
436	1	Rtr2	118
437	1	Rtr2	17
438	1	Rtr2	14
439	1	Rtr2	15
440	1	Rtr2	13
441	1	Rtr2	15
442	1	Rtr2	14
443	1	Rtr2	19
444	1	Rtr2	15
445	1	Rtr2	15
446	1	Rtr2	15
447	1	Rtr2	15
448	1	Rtr2	14
449	1	Rtr2	13
450	1	Rtr2	721
451	1	Rtr2	1433
452	1	Rtr2	1450
453	1	Rtr2	1447
454	1	Rtr2	735
455	1	Rtr2	22
456	1	Rtr2	17
457	1	Rtr2	16
458	1	Rtr2	10
459	1	Rtr2	19
460	1	Rtr2	14
461	1	Rtr2	18
462	1	Rtr2	17
463	1	Rtr2	15
464	1	Rtr2	19
465	1	Rtr2	12
466	1	Rtr2	13
467	1	Rtr2	19
468	1	Rtr2	14
469	1	Rtr2	16
470	1	Rtr2	9
471	1	Rtr2	716
472	1	Rtr2	1428
473	1	Rtr2	1436
474	1	Rtr2	1432
475	1	Rtr2	739
476	1	Rtr2	24
477	1	Rtr2	17
478	1	Rtr2	13
479	1	Rtr2	12
480	1	Rtr2	17
481	1	Rtr2	18
482	1	Rtr2	15
483	1	Rtr2	13
484	1	Rtr2	21
485	1	Rtr2	16
486	1	Rtr2	16
487	1	Rtr2	16
488	1	Rtr2	17
489	1	Rtr2	17
490	1	Rtr2	14
491	1	Rtr2	184
492	1	Rtr2	836
493	1	Rtr2	1532
494	1	Rtr2	1538
495	1	Rtr2	1439
496	1	Rtr2	739
497	1	Rtr2	38
498	1	Rtr2	14
499	1	Rtr2	16
500	1	Rtr2	14
501	1	Rtr2	15
502	1	Rtr2	17
503	1	Rtr2	17
504	1	Rtr2	15
505	1	Rtr2	16
506	1	Rtr2	12
507	1	Rtr2	10
508	1	Rtr2	15
509	1	Rtr2	16
510	1	Rtr2	16
511	1	Rtr2	22
512	1	Rtr2	19
513	1	Rtr2	712
514	1	Rtr2	1415
515	1	Rtr2	1431
