Time	Node	PitItems
1	1	Rtr2	299
2	1	Rtr2	296
3	1	Rtr2	1057
4	1	Rtr2	1820
5	1	Rtr2	1905
6	1	Rtr2	1890
7	1	Rtr2	1142
8	1	Rtr2	175
9	1	Rtr2	138
10	1	Rtr2	235
11	1	Rtr2	238
12	1	Rtr2	194
13	1	Rtr2	116
14	1	Rtr2	86
15	1	Rtr2	147
16	1	Rtr2	123
17	1	Rtr2	119
18	1	Rtr2	80
19	1	Rtr2	72
20	1	Rtr2	135
21	1	Rtr2	170
22	1	Rtr2	149
23	1	Rtr2	127
24	1	Rtr2	875
25	1	Rtr2	1725
26	1	Rtr2	1758
27	1	Rtr2	1744
28	1	Rtr2	924
29	1	Rtr2	124
30	1	Rtr2	200
31	1	Rtr2	183
32	1	Rtr2	178
33	1	Rtr2	87
34	1	Rtr2	97
35	1	Rtr2	173
36	1	Rtr2	144
37	1	Rtr2	134
38	1	Rtr2	79
39	1	Rtr2	63
40	1	Rtr2	130
41	1	Rtr2	139
42	1	Rtr2	111
43	1	Rtr2	89
44	1	Rtr2	88
45	1	Rtr2	934
46	1	Rtr2	1731
47	1	Rtr2	1746
48	1	Rtr2	1690
49	1	Rtr2	921
50	1	Rtr2	193
51	1	Rtr2	200
52	1	Rtr2	192
53	1	Rtr2	88
54	1	Rtr2	88
55	1	Rtr2	147
56	1	Rtr2	246
57	1	Rtr2	254
58	1	Rtr2	191
59	1	Rtr2	195
60	1	Rtr2	252
61	1	Rtr2	275
62	1	Rtr2	266
63	1	Rtr2	100
64	1	Rtr2	96
65	1	Rtr2	158
66	1	Rtr2	945
67	1	Rtr2	1707
68	1	Rtr2	1681
69	1	Rtr2	1690
70	1	Rtr2	974
71	1	Rtr2	213
72	1	Rtr2	185
73	1	Rtr2	98
74	1	Rtr2	89
75	1	Rtr2	147
76	1	Rtr2	155
77	1	Rtr2	131
78	1	Rtr2	91
79	1	Rtr2	76
80	1	Rtr2	158
81	1	Rtr2	144
82	1	Rtr2	117
83	1	Rtr2	77
84	1	Rtr2	91
85	1	Rtr2	145
86	1	Rtr2	131
87	1	Rtr2	914
88	1	Rtr2	1655
89	1	Rtr2	1681
90	1	Rtr2	1734
91	1	Rtr2	982
92	1	Rtr2	186
93	1	Rtr2	117
94	1	Rtr2	104
95	1	Rtr2	155
96	1	Rtr2	156
97	1	Rtr2	147
98	1	Rtr2	102
99	1	Rtr2	88
100	1	Rtr2	151
101	1	Rtr2	147
102	1	Rtr2	146
103	1	Rtr2	85
104	1	Rtr2	80
105	1	Rtr2	141
106	1	Rtr2	132
107	1	Rtr2	142
108	1	Rtr2	887
109	1	Rtr2	1643
110	1	Rtr2	1733
111	1	Rtr2	1789
112	1	Rtr2	1041
113	1	Rtr2	192
114	1	Rtr2	219
115	1	Rtr2	277
116	1	Rtr2	299
117	1	Rtr2	274
118	1	Rtr2	125
119	1	Rtr2	87
120	1	Rtr2	163
121	1	Rtr2	161
122	1	Rtr2	157
123	1	Rtr2	95
124	1	Rtr2	70
125	1	Rtr2	144
126	1	Rtr2	150
127	1	Rtr2	133
128	1	Rtr2	87
129	1	Rtr2	844
130	1	Rtr2	1670
131	1	Rtr2	1685
132	1	Rtr2	1678
133	1	Rtr2	896
134	1	Rtr2	130
135	1	Rtr2	187
136	1	Rtr2	161
137	1	Rtr2	160
138	1	Rtr2	82
139	1	Rtr2	105
140	1	Rtr2	181
141	1	Rtr2	157
142	1	Rtr2	153
143	1	Rtr2	99
144	1	Rtr2	103
145	1	Rtr2	171
146	1	Rtr2	186
147	1	Rtr2	163
148	1	Rtr2	107
149	1	Rtr2	115
150	1	Rtr2	926
151	1	Rtr2	1690
152	1	Rtr2	1699
153	1	Rtr2	1628
154	1	Rtr2	899
155	1	Rtr2	191
156	1	Rtr2	170
157	1	Rtr2	156
158	1	Rtr2	84
159	1	Rtr2	111
