Time	Node	PitItems
1	1	Rtr2	299
2	1	Rtr2	296
3	1	Rtr2	662
4	1	Rtr2	1036
5	1	Rtr2	1132
6	1	Rtr2	1132
7	1	Rtr2	734
8	1	Rtr2	158
9	1	Rtr2	140
10	1	Rtr2	255
11	1	Rtr2	243
12	1	Rtr2	202
13	1	Rtr2	126
14	1	Rtr2	122
15	1	Rtr2	178
16	1	Rtr2	195
17	1	Rtr2	160
18	1	Rtr2	101
19	1	Rtr2	80
20	1	Rtr2	156
21	1	Rtr2	184
22	1	Rtr2	141
23	1	Rtr2	112
24	1	Rtr2	490
25	1	Rtr2	947
26	1	Rtr2	959
27	1	Rtr2	956
28	1	Rtr2	506
29	1	Rtr2	92
30	1	Rtr2	180
31	1	Rtr2	144
32	1	Rtr2	164
33	1	Rtr2	77
34	1	Rtr2	84
35	1	Rtr2	178
36	1	Rtr2	156
37	1	Rtr2	135
38	1	Rtr2	91
39	1	Rtr2	70
40	1	Rtr2	136
41	1	Rtr2	149
42	1	Rtr2	129
43	1	Rtr2	89
44	1	Rtr2	93
45	1	Rtr2	556
46	1	Rtr2	963
47	1	Rtr2	978
48	1	Rtr2	928
49	1	Rtr2	519
50	1	Rtr2	180
51	1	Rtr2	180
52	1	Rtr2	174
53	1	Rtr2	79
54	1	Rtr2	76
55	1	Rtr2	141
56	1	Rtr2	234
57	1	Rtr2	225
58	1	Rtr2	196
59	1	Rtr2	197
60	1	Rtr2	250
61	1	Rtr2	272
62	1	Rtr2	264
63	1	Rtr2	113
64	1	Rtr2	92
65	1	Rtr2	160
66	1	Rtr2	587
67	1	Rtr2	961
68	1	Rtr2	923
69	1	Rtr2	923
70	1	Rtr2	587
71	1	Rtr2	172
72	1	Rtr2	185
73	1	Rtr2	114
74	1	Rtr2	89
75	1	Rtr2	153
76	1	Rtr2	162
77	1	Rtr2	157
78	1	Rtr2	100
79	1	Rtr2	100
80	1	Rtr2	181
81	1	Rtr2	189
82	1	Rtr2	149
83	1	Rtr2	93
84	1	Rtr2	85
85	1	Rtr2	155
86	1	Rtr2	160
87	1	Rtr2	568
88	1	Rtr2	919
89	1	Rtr2	923
90	1	Rtr2	998
91	1	Rtr2	600
92	1	Rtr2	168
93	1	Rtr2	110
94	1	Rtr2	93
95	1	Rtr2	160
96	1	Rtr2	155
97	1	Rtr2	139
98	1	Rtr2	94
99	1	Rtr2	71
100	1	Rtr2	137
101	1	Rtr2	129
102	1	Rtr2	114
103	1	Rtr2	78
104	1	Rtr2	74
105	1	Rtr2	130
106	1	Rtr2	128
107	1	Rtr2	119
108	1	Rtr2	512
109	1	Rtr2	923
110	1	Rtr2	996
111	1	Rtr2	1076
112	1	Rtr2	679
113	1	Rtr2	174
114	1	Rtr2	191
115	1	Rtr2	245
116	1	Rtr2	270
117	1	Rtr2	266
118	1	Rtr2	118
119	1	Rtr2	102
120	1	Rtr2	158
121	1	Rtr2	175
122	1	Rtr2	165
123	1	Rtr2	92
124	1	Rtr2	91
125	1	Rtr2	148
126	1	Rtr2	150
127	1	Rtr2	130
128	1	Rtr2	81
129	1	Rtr2	496
130	1	Rtr2	970
131	1	Rtr2	991
132	1	Rtr2	1000
133	1	Rtr2	522
134	1	Rtr2	96
135	1	Rtr2	160
136	1	Rtr2	149
137	1	Rtr2	127
138	1	Rtr2	64
139	1	Rtr2	78
140	1	Rtr2	163
141	1	Rtr2	149
142	1	Rtr2	138
143	1	Rtr2	87
144	1	Rtr2	79
145	1	Rtr2	157
146	1	Rtr2	145
147	1	Rtr2	140
148	1	Rtr2	91
149	1	Rtr2	73
150	1	Rtr2	568
151	1	Rtr2	986
152	1	Rtr2	991
153	1	Rtr2	947
154	1	Rtr2	555
155	1	Rtr2	187
156	1	Rtr2	170
157	1	Rtr2	162
158	1	Rtr2	103
159	1	Rtr2	92
160	1	Rtr2	159
161	1	Rtr2	248
