Time	Node	PitItems
1	1	Rtr2	351
2	1	Rtr2	338
3	1	Rtr2	705
4	1	Rtr2	1086
5	1	Rtr2	1192
6	1	Rtr2	1181
7	1	Rtr2	777
8	1	Rtr2	153
9	1	Rtr2	124
10	1	Rtr2	225
11	1	Rtr2	238
12	1	Rtr2	214
13	1	Rtr2	106
14	1	Rtr2	106
15	1	Rtr2	181
16	1	Rtr2	181
17	1	Rtr2	154
18	1	Rtr2	84
19	1	Rtr2	92
20	1	Rtr2	171
21	1	Rtr2	184
22	1	Rtr2	156
23	1	Rtr2	130
24	1	Rtr2	493
25	1	Rtr2	954
26	1	Rtr2	974
27	1	Rtr2	972
28	1	Rtr2	518
29	1	Rtr2	102
30	1	Rtr2	180
31	1	Rtr2	163
32	1	Rtr2	150
33	1	Rtr2	86
34	1	Rtr2	101
35	1	Rtr2	174
36	1	Rtr2	147
37	1	Rtr2	135
38	1	Rtr2	94
39	1	Rtr2	81
40	1	Rtr2	133
41	1	Rtr2	134
42	1	Rtr2	132
43	1	Rtr2	99
44	1	Rtr2	94
45	1	Rtr2	564
46	1	Rtr2	968
47	1	Rtr2	968
48	1	Rtr2	931
49	1	Rtr2	529
50	1	Rtr2	187
51	1	Rtr2	177
52	1	Rtr2	170
53	1	Rtr2	85
54	1	Rtr2	84
55	1	Rtr2	129
56	1	Rtr2	306
57	1	Rtr2	322
58	1	Rtr2	278
59	1	Rtr2	271
60	1	Rtr2	324
61	1	Rtr2	334
62	1	Rtr2	344
63	1	Rtr2	108
64	1	Rtr2	91
65	1	Rtr2	164
66	1	Rtr2	567
67	1	Rtr2	974
68	1	Rtr2	911
69	1	Rtr2	923
70	1	Rtr2	575
71	1	Rtr2	181
72	1	Rtr2	177
73	1	Rtr2	136
74	1	Rtr2	105
75	1	Rtr2	159
76	1	Rtr2	174
77	1	Rtr2	159
78	1	Rtr2	101
79	1	Rtr2	118
80	1	Rtr2	198
81	1	Rtr2	198
82	1	Rtr2	160
83	1	Rtr2	74
84	1	Rtr2	80
85	1	Rtr2	138
86	1	Rtr2	142
87	1	Rtr2	544
88	1	Rtr2	922
89	1	Rtr2	909
90	1	Rtr2	990
91	1	Rtr2	579
92	1	Rtr2	150
93	1	Rtr2	106
94	1	Rtr2	80
95	1	Rtr2	143
96	1	Rtr2	136
97	1	Rtr2	126
98	1	Rtr2	107
99	1	Rtr2	79
100	1	Rtr2	157
101	1	Rtr2	148
102	1	Rtr2	127
103	1	Rtr2	79
104	1	Rtr2	79
105	1	Rtr2	142
106	1	Rtr2	141
107	1	Rtr2	128
108	1	Rtr2	515
109	1	Rtr2	921
110	1	Rtr2	1015
111	1	Rtr2	1138
112	1	Rtr2	737
113	1	Rtr2	264
114	1	Rtr2	265
115	1	Rtr2	313
116	1	Rtr2	340
117	1	Rtr2	300
118	1	Rtr2	119
119	1	Rtr2	103
120	1	Rtr2	149
121	1	Rtr2	172
122	1	Rtr2	155
123	1	Rtr2	89
124	1	Rtr2	82
125	1	Rtr2	152
126	1	Rtr2	137
127	1	Rtr2	124
128	1	Rtr2	101
129	1	Rtr2	493
130	1	Rtr2	972
131	1	Rtr2	978
132	1	Rtr2	987
133	1	Rtr2	544
134	1	Rtr2	114
135	1	Rtr2	177
136	1	Rtr2	172
137	1	Rtr2	153
138	1	Rtr2	65
139	1	Rtr2	76
140	1	Rtr2	152
141	1	Rtr2	128
142	1	Rtr2	124
143	1	Rtr2	94
144	1	Rtr2	92
145	1	Rtr2	167
146	1	Rtr2	158
147	1	Rtr2	143
148	1	Rtr2	92
149	1	Rtr2	78
150	1	Rtr2	549
151	1	Rtr2	978
152	1	Rtr2	982
153	1	Rtr2	949
154	1	Rtr2	544
155	1	Rtr2	171
156	1	Rtr2	151
157	1	Rtr2	153
158	1	Rtr2	86
159	1	Rtr2	80
160	1	Rtr2	152
161	1	Rtr2	299
162	1	Rtr2	265
163	1	Rtr2	232
164	1	Rtr2	238
165	1	Rtr2	313
166	1	Rtr2	310
167	1	Rtr2	305
168	1	Rtr2	101
169	1	Rtr2	86
170	1	Rtr2	157
171	1	Rtr2	569
172	1	Rtr2	1000
173	1	Rtr2	952
174	1	Rtr2	942
175	1	Rtr2	591
176	1	Rtr2	162
177	1	Rtr2	139
178	1	Rtr2	91
179	1	Rtr2	87
180	1	Rtr2	172
181	1	Rtr2	181
182	1	Rtr2	140
183	1	Rtr2	91
184	1	Rtr2	95
185	1	Rtr2	151
186	1	Rtr2	150
187	1	Rtr2	137
188	1	Rtr2	95
189	1	Rtr2	92
190	1	Rtr2	147
191	1	Rtr2	158
192	1	Rtr2	547
193	1	Rtr2	954
194	1	Rtr2	956
195	1	Rtr2	1028
196	1	Rtr2	592
197	1	Rtr2	174
198	1	Rtr2	112
199	1	Rtr2	113
200	1	Rtr2	178
201	1	Rtr2	149
202	1	Rtr2	139
203	1	Rtr2	76
204	1	Rtr2	69
205	1	Rtr2	141
206	1	Rtr2	115
207	1	Rtr2	102
208	1	Rtr2	69
209	1	Rtr2	71
210	1	Rtr2	123
211	1	Rtr2	138
212	1	Rtr2	114
213	1	Rtr2	514
214	1	Rtr2	958
215	1	Rtr2	1024
216	1	Rtr2	1028
217	1	Rtr2	608
218	1	Rtr2	100
219	1	Rtr2	102
220	1	Rtr2	155
221	1	Rtr2	339
222	1	Rtr2	345
223	1	Rtr2	256
224	1	Rtr2	254
225	1	Rtr2	318
226	1	Rtr2	318
227	1	Rtr2	286
228	1	Rtr2	109
229	1	Rtr2	105
230	1	Rtr2	142
231	1	Rtr2	164
232	1	Rtr2	142
233	1	Rtr2	87
234	1	Rtr2	500
235	1	Rtr2	1002
236	1	Rtr2	1006
237	1	Rtr2	1017
238	1	Rtr2	543
239	1	Rtr2	96
240	1	Rtr2	149
241	1	Rtr2	174
242	1	Rtr2	140
243	1	Rtr2	76
244	1	Rtr2	81
245	1	Rtr2	129
246	1	Rtr2	160
247	1	Rtr2	120
248	1	Rtr2	77
249	1	Rtr2	60
250	1	Rtr2	125
251	1	Rtr2	138
252	1	Rtr2	118
253	1	Rtr2	84
254	1	Rtr2	54
255	1	Rtr2	539
256	1	Rtr2	997
257	1	Rtr2	993
258	1	Rtr2	992
259	1	Rtr2	533
260	1	Rtr2	149
261	1	Rtr2	138
262	1	Rtr2	137
263	1	Rtr2	87
264	1	Rtr2	76
265	1	Rtr2	141
266	1	Rtr2	279
267	1	Rtr2	271
268	1	Rtr2	233
269	1	Rtr2	229
270	1	Rtr2	284
271	1	Rtr2	301
272	1	Rtr2	278
273	1	Rtr2	92
274	1	Rtr2	101
275	1	Rtr2	155
276	1	Rtr2	595
277	1	Rtr2	1028
278	1	Rtr2	1000
279	1	Rtr2	976
280	1	Rtr2	600
281	1	Rtr2	142
282	1	Rtr2	106
283	1	Rtr2	59
284	1	Rtr2	59
285	1	Rtr2	114
286	1	Rtr2	107
287	1	Rtr2	75
288	1	Rtr2	73
289	1	Rtr2	47
290	1	Rtr2	102
291	1	Rtr2	127
292	1	Rtr2	97
293	1	Rtr2	83
294	1	Rtr2	71
295	1	Rtr2	139
296	1	Rtr2	107
297	1	Rtr2	555
298	1	Rtr2	988
299	1	Rtr2	999
300	1	Rtr2	1059
301	1	Rtr2	623
302	1	Rtr2	170
303	1	Rtr2	530
304	1	Rtr2	998
305	1	Rtr2	1056
306	1	Rtr2	1058
307	1	Rtr2	606
308	1	Rtr2	104
309	1	Rtr2	76
310	1	Rtr2	135
311	1	Rtr2	146
312	1	Rtr2	118
313	1	Rtr2	86
314	1	Rtr2	78
315	1	Rtr2	132
316	1	Rtr2	127
317	1	Rtr2	107
318	1	Rtr2	71
319	1	Rtr2	60
320	1	Rtr2	107
321	1	Rtr2	260
322	1	Rtr2	260
323	1	Rtr2	255
324	1	Rtr2	685
325	1	Rtr2	1186
326	1	Rtr2	1187
327	1	Rtr2	1187
328	1	Rtr2	552
329	1	Rtr2	124
330	1	Rtr2	163
331	1	Rtr2	150
332	1	Rtr2	159
333	1	Rtr2	67
334	1	Rtr2	62
335	1	Rtr2	127
336	1	Rtr2	115
337	1	Rtr2	126
338	1	Rtr2	82
339	1	Rtr2	82
340	1	Rtr2	138
341	1	Rtr2	156
342	1	Rtr2	151
343	1	Rtr2	100
344	1	Rtr2	103
345	1	Rtr2	597
346	1	Rtr2	1075
347	1	Rtr2	1075
348	1	Rtr2	1028
349	1	Rtr2	562
350	1	Rtr2	141
351	1	Rtr2	121
352	1	Rtr2	105
353	1	Rtr2	50
354	1	Rtr2	69
355	1	Rtr2	107
356	1	Rtr2	88
357	1	Rtr2	96
358	1	Rtr2	65
359	1	Rtr2	41
360	1	Rtr2	92
361	1	Rtr2	91
362	1	Rtr2	75
363	1	Rtr2	86
364	1	Rtr2	50
365	1	Rtr2	116
366	1	Rtr2	581
367	1	Rtr2	1025
368	1	Rtr2	1032
369	1	Rtr2	1022
370	1	Rtr2	616
371	1	Rtr2	139
372	1	Rtr2	126
373	1	Rtr2	86
374	1	Rtr2	73
375	1	Rtr2	116
376	1	Rtr2	281
377	1	Rtr2	273
378	1	Rtr2	234
379	1	Rtr2	210
380	1	Rtr2	259
381	1	Rtr2	240
382	1	Rtr2	226
383	1	Rtr2	45
384	1	Rtr2	47
385	1	Rtr2	100
386	1	Rtr2	95
387	1	Rtr2	563
388	1	Rtr2	1007
389	1	Rtr2	1022
390	1	Rtr2	1082
391	1	Rtr2	606
392	1	Rtr2	127
393	1	Rtr2	66
394	1	Rtr2	68
395	1	Rtr2	113
396	1	Rtr2	115
397	1	Rtr2	105
398	1	Rtr2	63
399	1	Rtr2	63
400	1	Rtr2	98
401	1	Rtr2	86
402	1	Rtr2	82
403	1	Rtr2	70
404	1	Rtr2	63
405	1	Rtr2	137
406	1	Rtr2	118
407	1	Rtr2	102
408	1	Rtr2	529
409	1	Rtr2	1014
410	1	Rtr2	1090
411	1	Rtr2	1080
412	1	Rtr2	606
413	1	Rtr2	95
414	1	Rtr2	87
415	1	Rtr2	139
416	1	Rtr2	142
417	1	Rtr2	138
418	1	Rtr2	79
419	1	Rtr2	72
420	1	Rtr2	113
421	1	Rtr2	113
422	1	Rtr2	93
423	1	Rtr2	78
424	1	Rtr2	59
425	1	Rtr2	122
426	1	Rtr2	104
427	1	Rtr2	104
428	1	Rtr2	80
429	1	Rtr2	552
430	1	Rtr2	1086
431	1	Rtr2	1089
432	1	Rtr2	1101
433	1	Rtr2	710
434	1	Rtr2	229
435	1	Rtr2	292
436	1	Rtr2	289
437	1	Rtr2	262
438	1	Rtr2	195
439	1	Rtr2	187
440	1	Rtr2	161
441	1	Rtr2	155
442	1	Rtr2	157
443	1	Rtr2	94
444	1	Rtr2	79
